district,month,total_all,z_pct,iso_score,resid_z,z_anom,iso_anom,resid_anom
Lakhimpur,2025-09-01,12759.0,2.593727075590681,0.0,1.8764061574462867,True,False,False
Latur,2025-11-01,81683.0,2.5212740198276316,0.0,2.510916172230245,True,False,False
Madhepura,2025-09-01,34557.0,2.531444913571275,0.0,2.045830925460505,True,False,False
Mahabub Nagar,2025-09-01,7734.0,2.7767275434549656,0.0,1.8991168100990157,True,False,False
Mahasamund,2025-06-01,89053.0,2.6498336043998316,0.0,2.576469693530411,True,False,False
Mahbubnagar,2025-09-01,4484.0,2.5341552569244556,0.0,1.7562302857521923,True,False,False
Malerkotla,2025-07-01,7690.0,2.671982054448694,0.0,2.0889586643590774,True,False,False
Mancherial,2025-09-01,6650.0,2.7572600660066593,0.0,1.8263765289838252,True,False,False
Mauganj,2025-09-01,1130.0,2.6368334856882067,0.0,0.8346423017090959,True,False,False
Moradabad,2025-11-01,53365.0,2.509805784788113,0.0,1.035409944428974,True,False,False
Mulugu,2025-09-01,3205.0,2.6414910035090142,0.0,1.4148563647496304,True,False,False
N. T. R,2025-05-01,6927.0,2.5706798693912543,0.0,0.6090979367258753,True,False,False
Nadia,2025-09-01,63117.0,2.50144126373516,0.0,2.043416373543565,True,False,False
Nagarkurnool,2025-09-01,7059.0,2.7316465526647415,0.0,1.5868894114980487,True,False,False
Nagpur,2025-11-01,94878.0,2.552424357135266,0.0,1.9460252819461266,True,False,False
Nalanda,2025-09-01,75722.0,2.6905707717685607,0.0,2.101401305685824,True,False,False
Nalbari,2025-09-01,8628.0,2.7730071169548047,0.0,1.9439182513743343,True,False,False
Namsai,2025-11-01,1483.0,2.6499144932032905,0.0,1.6418936634710823,True,False,False
Nandyal,2025-05-01,6551.0,2.706138614055812,0.0,1.359366051177242,True,False,False
Narayanpet,2025-09-01,6007.0,2.6648432619536377,0.0,1.7785483390192978,True,False,False
Narayanpur,2025-07-01,13170.0,2.5839799559556225,0.0,2.441736786081719,True,False,False
Nirmal,2025-09-01,9271.0,2.565602967111884,0.0,1.1459568059121532,True,False,False
North Cachar Hills,2025-09-01,2226.0,2.776995493156003,0.0,2.163080970078803,True,False,False
North Sikkim,2025-09-01,250.0,2.7298835758060833,0.0,2.033430584159408,True,False,False
Pakaur,2025-09-01,1162.0,2.604689182614294,0.0,1.2560548075080735,True,False,False
Palnadu,2025-05-01,5712.0,2.7157932165794687,0.0,0.8890219498125677,True,False,False
Pashchim Champaran,2025-06-01,6507.0,2.6456442671345535,0.0,1.055987247920092,True,False,False
Peddapalli,2025-09-01,3545.0,2.6788714158688607,0.0,1.5226991663835574,True,False,False
Purulia,2025-09-01,2962.0,2.6941612853892347,0.0,1.943805393397453,True,False,False
Rajanna Sircilla,2025-09-01,3883.0,2.6959107692638367,0.0,1.7189214943145787,True,False,False
Rajnandgaon,2025-06-01,87828.0,2.64175974662818,0.0,2.302335752547716,True,False,False
Rangareddy,2025-09-01,1433.0,2.56214474126629,0.0,1.2034538955342076,True,False,False
Ranipet,2025-09-01,352.0,2.6163191614852095,0.0,1.6161799342118373,True,False,False
Ri Bhoi,2025-07-01,2978.0,2.7395500328311715,0.0,2.3962221236195296,True,False,False
Rohtas,2025-09-01,39815.0,2.5287184134942176,0.0,1.8122316074922526,True,False,False
Rudraprayag,2025-11-01,6311.0,2.678164559243742,0.0,1.823775787408838,True,False,False
Sahebganj,2025-09-01,19524.0,2.5365337952708984,0.0,1.2670085223898178,True,False,False
Sahibganj,2025-09-01,897.0,2.5089539009347375,0.0,0.7880709010437678,True,False,False
Sangareddy,2025-06-01,5059.0,2.535221792426306,0.0,1.5831466449002944,True,False,False
Sangli,2025-11-01,74882.0,2.5687434737565447,0.0,2.2035845170635895,True,False,False
Senapati,2025-07-01,5352.0,2.5006317924129227,0.0,-0.04555808249843714,True,False,False
Sheikhpura,2025-09-01,14981.0,2.596993625305949,0.0,2.184875473943991,True,False,False
Sheohar,2025-09-01,11365.0,2.583933816595526,0.0,1.7167599207687019,True,False,False
Shi-yomi,2025-11-01,365.0,2.7817508084241807,0.0,2.3879289782468573,True,False,False
Siddipet,2025-09-01,11512.0,2.665056844397205,0.0,1.440601525297784,True,False,False
Solapur,2025-11-01,171929.0,2.5957588681659858,0.0,2.2352886025395606,True,False,False
Sonitpur,2025-09-01,13742.0,2.6359927911537224,0.0,1.8162180512808244,True,False,False
South,2025-09-01,1343.0,2.6626370749334605,0.0,1.1847949124322323,True,False,False
South Dinajpur,2025-09-01,2648.0,2.7626799132763358,0.0,2.0176292658445774,True,False,False
South Garo Hills,2025-09-01,1441.0,2.6797852385855565,0.0,2.2079259762281547,True,False,False
South Salmara Mankachar,2025-07-01,5813.0,2.8076298675750264,0.0,2.0997182389010187,True,False,False
Sri Potti Sriramulu Nellore,2025-05-01,5539.0,2.69286866041313,0.0,1.6422954345241163,True,False,False
Supaul,2025-09-01,33994.0,2.6747359886492603,0.0,1.6415446652684904,True,False,False
Tawang,2025-09-01,491.0,2.7418674836070576,0.0,2.2568622308047708,True,False,False
Tenkasi,2025-09-01,3041.0,2.6796168595084024,0.0,1.2795615571009529,True,False,False
Thoubal,2025-07-01,19479.0,2.778783152300241,0.0,0.7613533378707988,True,False,False
Tirupati,2025-05-01,7429.0,2.7065214340089643,0.0,1.5135746542622903,True,False,False
Udalguri,2025-09-01,5636.0,2.600696572477787,0.0,1.6302147313696187,True,False,False
Upper Siang,2025-09-01,715.0,2.8023331876001625,0.0,1.9186466356547152,True,False,False
Vaishali,2025-09-01,54240.0,2.525435980669511,0.0,1.7165739893879646,True,False,False
Wanaparthy,2025-09-01,7180.0,2.7495031088711928,0.0,1.4094971860683516,True,False,False
Warangal Rural,2025-09-01,6104.0,2.762750630355884,0.0,1.6539788874425967,True,False,False
Washim,2025-11-01,53931.0,2.6278741705415656,0.0,2.560246409675661,True,False,False
West Champaran,2025-09-01,72312.0,2.686487139803936,0.0,2.064369031757173,True,False,False
West Khasi Hills,2025-07-01,4727.0,2.520486839961261,0.0,1.2191027023405259,True,False,False
West Midnapore,2025-09-01,10771.0,2.5471059957832645,0.0,1.2879758974722075,True,False,False
Yavatmal,2025-11-01,155621.0,2.5248232930218286,0.0,2.2415566590336162,True,False,False
Zunheboto,2025-07-01,1267.0,2.552765250679692,0.0,1.8364902113037076,True,False,False
